Trial,Stimulus Type, Stimulus File, TrialMskAttn, Speaker Az,Speaker El,Galvo Az,Galvo El,Pointer Az,Pointer El
95,V,BB 200-20k 50ms.16,100,-0.158209,-0.008090,-29.921033,0.273321,-25.081500,-0.693483
96,A,BB 200-20k 50ms.16,100,-27.845744,-0.008090,0.023167,0.273321,-20.247500,-1.057710
97,A,BB 200-20k 50ms.16,100,-39.854688,-0.008090,0.023167,0.273321,-32.552500,2.343961
98,V,BB 200-20k 50ms.16,100,-0.129353,-0.008090,27.971087,0.273321,25.983500,0.128501
99,V,BB 200-20k 50ms.16,100,-0.131343,-0.008090,-29.921033,0.273321,-22.796500,-0.329334
100,V,BB 200-20k 50ms.16,100,-0.133333,-0.008090,39.948767,0.273321,35.914500,-0.420721
101,V,BB 200-20k 50ms.16,100,-0.080597,-0.008090,29.967367,0.273321,29.498500,-0.875717
102,A,BB 200-20k 50ms.16,100,15.764164,-0.008090,0.023167,0.273321,12.887500,-0.603313
103,V,BB 200-20k 50ms.16,100,-0.019900,-0.008090,-31.917313,0.273321,-26.663500,-0.784630
104,A,BB 200-20k 50ms.16,100,19.824856,-0.008090,0.023167,0.273321,17.545500,-1.420977
105,A,BB 200-20k 50ms.16,100,4.921388,-0.008090,0.023167,0.273321,3.658500,-0.146381
106,A,BB 200-20k 50ms.16,100,-19.889533,-0.008090,0.023167,0.273321,-14.358500,-0.146381
107,A,BB 200-20k 50ms.16,100,39.580061,-0.008090,0.023167,0.273321,39.957500,-0.237888
108,A,BB 200-20k 50ms.16,100,29.809921,-0.008090,0.023167,0.273321,27.037500,-0.054814
109,B,BB 200-20k 50ms.16,100,34.645737,-0.008090,10.004567,0.273321,4.274500,-0.956692
110,B,BB 200-20k 50ms.16,100,9.954219,-0.008090,34.958067,0.273321,4.274500,-28.932759
111,B,BB 200-20k 50ms.16,100,-23.668634,-0.008090,-21.187308,0.273321,4.274500,4.931767
112,B,BB 200-20k 50ms.16,100,-38.678569,-0.008090,-26.178008,0.273321,4.274500,7.686359
113,B,BB 200-20k 50ms.16,100,-16.291526,-0.008090,-8.710558,0.273321,4.274500,7.686359
114,B,BB 200-20k 50ms.16,100,33.485540,-0.009102,11.252242,0.273321,4.274500,-36.465043
115,B,BB 200-20k 50ms.16,100,-36.092502,-0.008090,-8.710558,0.273321,4.274500,-43.679239
116,B,BB 200-20k 50ms.16,100,19.837792,-0.008090,14.995267,0.273321,4.274500,14.095578
117,B,BB 200-20k 50ms.16,100,-26.156193,-0.008090,-38.654758,0.273321,4.274500,11.619362
118,B,BB 200-20k 50ms.16,100,12.256704,-0.008090,22.481317,0.273321,4.274500,-43.203091
119,B,BB 200-20k 50ms.16,100,-17.433814,-0.008090,-17.444283,0.273321,4.274500,19.057267
120,B,BB 200-20k 50ms.16,100,-6.230840,-0.008090,-38.654758,0.273321,4.274500,21.752799
121,B,BB 200-20k 50ms.16,100,39.601952,-0.008090,24.976667,0.273321,4.274500,-45.445043
122,B,BB 200-20k 50ms.16,100,-18.681574,-0.009102,-26.178008,0.273321,4.274500,27.580076
123,B,BB 200-20k 50ms.16,100,-33.561161,-0.008090,-31.168708,0.273321,4.274500,33.189152
124,B,BB 200-20k 50ms.16,100,24.868633,-0.008090,29.967367,0.273321,4.274500,22.622957
125,B,BB 200-20k 50ms.16,100,-32.381063,-0.008090,-32.416383,0.273321,4.274500,23.277573
126,B,BB 200-20k 50ms.16,100,29.688528,-0.008090,34.958067,0.273321,4.274500,33.867108
127,B,BB 200-20k 50ms.16,100,9.940289,-0.008090,24.976667,0.273321,4.274500,-47.139539
128,B,BB 200-20k 50ms.16,100,-39.934290,-0.008090,-24.930333,0.273321,4.274500,-41.634118
129,B,BB 200-20k 50ms.16,100,-24.986045,-0.008090,-29.921033,0.273321,4.274500,34.433841
130,B,BB 200-20k 50ms.16,100,-10.131333,-0.008090,-34.911733,0.273321,4.274500,-46.665410
131,B,BB 200-20k 50ms.16,100,-33.566137,-0.008090,-11.205908,0.273321,11.744500,-50.663579
132,B,BB 200-20k 50ms.16,100,26.098482,-0.008090,18.738292,0.273321,11.656500,23.059981
133,B,BB 200-20k 50ms.16,100,-12.463669,-0.008090,-12.453583,0.273321,11.656500,32.397949
134,B,BB 200-20k 50ms.16,100,24.726344,-0.008090,19.985967,0.273321,11.656500,30.822571
135,B,BB 200-20k 50ms.16,100,-17.457694,-0.008090,-27.425683,0.273321,11.656500,34.886363
136,B,BB 200-20k 50ms.16,100,14.922374,-0.008090,10.004567,0.273321,11.656500,25.806551
137,B,BB 200-20k 50ms.16,100,-17.470630,-0.008090,-7.462883,0.273321,11.656500,21.211245
138,B,BB 200-20k 50ms.16,100,11.026855,-0.008090,13.747592,0.273321,11.656500,21.752799
139,B,BB 200-20k 50ms.16,100,-37.314392,-0.008090,-7.462883,0.273321,11.656500,-53.313228
140,B,BB 200-20k 50ms.16,100,27.259675,-0.008090,17.490617,0.273321,11.656500,-53.654350
141,B,BB 200-20k 50ms.16,100,-34.851707,-0.008090,-34.911733,0.273321,11.656500,34.999871
142,B,BB 200-20k 50ms.16,100,-15.052722,-0.008090,-19.939633,0.273321,11.656500,34.207075
143,B,BB 200-20k 50ms.16,100,-32.366138,-0.008090,-22.434983,0.273321,11.656500,34.093728
144,B,BB 200-20k 50ms.16,100,-8.775116,-0.008090,-16.196608,0.273321,11.656500,28.918136
145,B,BB 200-20k 50ms.16,100,-29.819871,-0.009102,-24.930333,0.273321,11.656500,30.822571
146,B,BB 200-20k 50ms.16,100,34.646732,-0.008090,34.958067,0.273321,11.656500,32.623864
147,B,BB 200-20k 50ms.16,100,-9.988050,-0.008090,-24.930333,0.273321,11.656500,32.510892
148,B,BB 200-20k 50ms.16,100,-28.783057,-0.008090,-36.159408,0.273321,11.656500,25.585378
149,B,BB 200-20k 50ms.16,100,24.809926,-0.008090,10.004567,0.273321,11.656500,-53.994960
150,B,BB 200-20k 50ms.16,100,9.907453,-0.008090,10.004567,0.273321,11.656500,30.935070
151,B,BB 200-20k 50ms.16,100,-39.837772,-0.008090,-39.902433,0.273321,11.656500,34.207075
152,B,BB 200-20k 50ms.16,100,-18.677594,-0.009102,-6.215208,0.273321,11.656500,-53.994960
153,B,BB 200-20k 50ms.16,100,17.160182,-0.008090,27.472017,0.273321,11.656500,-56.872150
154,B,BB 200-20k 50ms.16,100,-6.194024,-0.008090,-18.691958,0.273321,11.656500,28.694506
155,B,BB 200-20k 50ms.16,100,27.190023,-0.008090,27.472017,0.273321,11.656500,27.025086
156,B,BB 200-20k 50ms.16,100,-14.955209,-0.008090,-9.958233,0.273321,11.656500,26.802894
157,B,BB 200-20k 50ms.16,100,22.236794,-0.008090,12.499917,0.273321,11.656500,31.160168
158,B,BB 200-20k 50ms.16,100,-19.917394,-0.008090,-4.967533,0.273321,11.656500,-53.313228
159,B,BB 200-20k 50ms.16,100,-8.865663,-0.008090,-36.159408,0.273321,11.656500,-45.038178
160,B,BB 200-20k 50ms.16,100,37.201954,-0.008090,7.509217,0.273321,11.656500,-46.801108
161,B,BB 200-20k 50ms.16,100,19.918389,-0.009102,34.958067,0.273321,11.656500,-46.393980
162,B,BB 200-20k 50ms.16,100,9.905463,-0.008090,14.995267,0.273321,11.656500,23.496623
163,B,BB 200-20k 50ms.16,100,34.679568,-0.008090,19.985967,0.273321,11.656500,23.496623
164,B,BB 200-20k 50ms.16,100,-10.131333,-0.009102,-14.948933,0.273321,11.656500,24.924274
165,B,BB 200-20k 50ms.16,100,17.192023,-0.008090,17.490617,0.273321,11.656500,17.989457
166,B,BB 200-20k 50ms.16,100,38.343246,-0.008090,26.224342,0.273321,11.656500,26.027915
167,B,BB 200-20k 50ms.16,100,-19.925354,-0.009102,-34.911733,0.273321,11.656500,20.345805
168,B,BB 200-20k 50ms.16,100,16.187049,-0.008090,8.756892,0.273321,11.656500,20.994533
169,B,BB 200-20k 50ms.16,100,-26.150223,-0.008090,-18.691958,0.273321,11.656500,25.144865
170,B,BB 200-20k 50ms.16,100,12.277600,-0.008090,12.499917,0.273321,11.656500,27.691457
171,B,BB 200-20k 50ms.16,100,22.256695,-0.008090,22.481317,0.273321,11.569500,-46.733261
172,B,BB 200-20k 50ms.16,100,-29.895493,-0.008090,-34.911733,0.273321,11.569500,26.138668
173,B,BB 200-20k 50ms.16,100,32.205939,-0.008090,12.499917,0.273321,11.569500,-42.657468
174,B,BB 200-20k 50ms.16,100,-22.397988,-0.009102,-32.416383,0.273321,11.569500,21.426955
175,B,BB 200-20k 50ms.16,100,32.239770,-0.008090,22.481317,0.273321,11.569500,26.691866
176,B,BB 200-20k 50ms.16,100,-32.530317,-0.008090,-12.453583,0.273321,11.569500,-52.836844
177,B,BB 200-20k 50ms.16,100,30.963154,-0.008090,33.710392,0.273321,11.569500,-46.529701
178,B,BB 200-20k 50ms.16,100,-38.548221,-0.009102,-6.215208,0.273321,11.569500,-53.109450
179,B,BB 200-20k 50ms.16,100,35.895487,-0.008090,8.756892,0.273321,11.569500,-51.952603
